Track ID,Name,Artist,Album,Genre,Total Time (ms),Date Added,Play Count,Skip Count
1799,Moti,Kida,Moti - Single,Pop,160917,2023-07-27 19:44:51,18.0,2.0
1801,Tela (feat. Ermal Fejzullahu),Kida,Tela (feat. Ermal Fejzullahu) - Single,Dance,198055,2023-07-27 19:45:15,14.0,2.0
1803,Princess Diana,Ledri Vula & Lyrical Son,Princess Diana - Single,Hip-Hop/Rap,163841,2023-07-27 19:45:39,18.0,2.0
1805,Llafe Llafe (feat. Lyrical Son),Dafina Zeqiri,DAFINË MOJ,Pop,190467,2023-07-27 19:46:10,20.0,3.0
1807,Kuch Kuch Hota Hai,"Jatin-Lalit, Udit Narayan & Alka Yagnik",Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Bollywood,297867,2023-07-27 20:40:06,9.0,9.0
1809,Promiscuous (feat. Timbaland),Nelly Furtado,Loose (Deluxe Version),Pop,242293,2023-07-30 22:34:18,26.0,5.0
1811,The Way I Are (feat. Keri Hilson & D.O.E.),Timbaland,Shock Value (Bonus Track Version),Hip-Hop/Rap,179280,2023-07-30 22:34:20,26.0,5.0
1813,Ayo Technology (feat. Justin Timberlake),50 Cent,Curtis,Hip-Hop/Rap,247947,2023-07-30 22:34:29,20.0,7.0
1815,Rhythm Is a Dancer,Snap!,The Madman's Return,Dance,332230,2023-08-11 19:55:17,23.0,3.0
1817,Radio,Lana Del Rey,Born to Die - The Paradise Edition,Alternative,214574,2023-08-20 22:59:38,39.0,4.0
1819,Find Your Love,Drake,Thank Me Later,Hip-Hop/Rap,208947,2023-08-28 15:36:34,30.0,2.0
1821,Next To You (feat. Justin Bieber),Chris Brown,F.A.M.E. (Expanded Edition),R&B/Soul,265813,2023-08-31 22:44:48,9.0,5.0
1823,We Don't Talk Anymore (Instrumental),Isaac Moore,Songs Through Time,Instrumental,219430,2023-08-31 22:48:22,16.0,6.0
1825,Chemical,Post Malone,Chemical - Single,Pop,184013,2023-09-05 19:23:09,28.0,6.0
1827,Cruel Summer,Taylor Swift,Lover,Pop,178426,2023-09-05 19:53:58,40.0,4.0
1829,Sprinter,Dave & Central Cee,Sprinter - Single,Hip-Hop/Rap,229133,2023-09-07 22:44:06,10.0,12.0
1831,Memory Reboot (Over Slowed),VØJ & Narvent,Memory Reboot (Over Slowed) - Single,Electronic,282611,2023-09-08 18:32:32,26.0,6.0
1833,This Love,Maroon 5,Songs About Jane,Rock,207224,2023-09-18 14:45:17,33.0,3.0
1835,GMFU,Odetari & 6arelyhuman,GMFU - Single,Dance,127742,2023-09-19 10:44:26,22.0,9.0
1837,Lost on You,LP,Lost On You,Alternative,267461,2023-09-22 18:06:34,35.0,1.0
1839,Amour plastique,"Videoclub, Adèle Castillon & Mattyeux",Euphories,French Pop,226027,2023-09-25 17:12:59,22.0,2.0
1841,Prada,"cassö, RAYE & D-Block Europe",Prada - Single,Dance,132359,2023-09-27 19:17:48,16.0,3.0
1843,Like A Saviour,Ellie Goulding,Higher Than Heaven (Deluxe),Pop,220404,2023-09-27 22:00:32,18.0,
1845,Satisfaction,Benny Benassi,Hypnotica,Electronic,285547,2023-10-07 20:02:54,7.0,4.0
1847,Until I Found You,Stephen Sanchez,Until I Found You - Single,Singer/Songwriter,177720,2023-10-14 00:24:31,16.0,4.0
1849,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,Alternative,214680,2023-10-14 00:29:17,26.0,1.0
1851,"Hold On, We're Going Home (feat. Majid Jordan)",Drake,Nothing Was the Same (Deluxe),Hip-Hop/Rap,231193,2023-10-14 00:44:28,16.0,4.0
1853,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds (Deluxe Edition),Pop,448533,2023-10-15 22:34:51,17.0,4.0
1855,SPECIALZ,King Gnu,SPECIALZ - Single,Alternative,238987,2023-10-21 04:56:05,20.0,2.0
1857,(I Just) Died in Your Arms,Cutting Crew,Broadcast,Rock,280400,2023-10-24 14:20:44,30.0,2.0
1859,Sandstorm,Darude,Sandstorm - Single,Dance,446467,2023-11-04 05:44:36,6.0,5.0
1861,Meditate To Gentle Waves for Emotional Well Being and Relaxation,Nature Sounds In HD,Nature Sound In Hd,New Age,360072,2023-11-08 18:20:07,12.0,6.0
1863,Coffee,Miguel,Coffee - Single,R&B/Soul,290153,2023-11-13 20:36:39,10.0,2.0
1865,Sky Walker (feat. Travis Scott),Miguel,War & Leisure,R&B/Soul,259334,2023-11-13 20:36:58,10.0,2.0
1867,Danza Kuduro (feat. Lucenzo),Don Omar & Lucenzo,Meet the Orphans,Urbano latino,198773,2023-12-02 19:59:49,16.0,2.0
1869,I Don't Wanna Dance,Ameritz Top Tributes,I Don't Wanna Dance: A Tribute to Eddy Grant - Single,Tribute,205960,2024-02-08 05:53:15,6.0,
1871,The Riddle,Nik Kershaw,The Riddle (Expanded Edition),Pop,234825,2024-02-12 19:14:08,6.0,5.0
1873,I Don't Wanna Know (feat. Enya & P. Diddy) [2016 Remastered],Mario Winans,Bad Boy 20th Anniversary Box Set Edition,R&B/Soul,257333,2024-02-13 23:14:21,10.0,2.0
1875,Faded (Cover),Improver & Taras Stanin,Faded (Cover) - Single,Dance,136080,2024-02-16 06:25:20,2.0,5.0
1877,Beautiful Things,Benson Boone,Beautiful Things - Single,Pop,180304,2024-03-28 16:08:26,10.0,7.0
1879,End of Beginning,Djo,DECIDE,Alternative,159246,2024-04-29 21:27:31,10.0,5.0
